permalink,name,homepage_url,category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,status_code
/organization/michael-bieker,Michael Bieker,,|Venture Capital|Finance|,Finance,30000.0,operating,USA,OR,Eugene,Bend,1.0,2008-01-01,2008-01,2008-Q1,2008.0,2014-05-28,2014-05-28,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/couchsurfing-international,Couchsurfing,http://www.couchsurfing.org,|Social Search|Social Media|Social Network Media|Hotels|Hospitality|Travel|,Social Media,22600000.0,operating,USA,CA,SF Bay Area,San Francisco,2.0,2004-06-13,2004-06,2004-Q2,2004.0,2011-08-24,2012-08-22,0.0,22600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/ekos-corporation,EKOS Corporation,http://www.ekoscorp.com,|Health Care|,Health Care,44000000.0,acquired,USA,WA,Seattle,Bothell,2.0,1995-01-01,1995-01,1995-Q1,1995.0,2005-02-18,2006-03-21,0.0,44000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000000.0,26000000.0,0.0,0.0,0.0,0.0,0.0,2
/organization/rendeevoo,Rendeevoo,http://www.rendeevoo.com/,|Entertainment|,Entertainment,57620.0,operating,GBR,,London,London,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2014-06-28,2014-06-28,0.0,0.0,57620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/imagen-biotech,Imagen Biotech,http://www.imagenbiotech.com,|Biotechnology|,Biotechnology,40000000.0,operating,USA,NY,New York City,New York,1.0,2011-06-01,2011-06,2011-Q2,2011.0,2011-10-19,2011-10-19,0.0,40000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/network-physics,Network Physics,,|Enterprise Software|,Enterprise Software,8630000.0,acquired,USA,CA,SF Bay Area,Mountain View,1.0,1999-01-01,1999-01,1999-Q1,1999.0,2006-04-13,2006-04-13,0.0,8630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
/organization/bedycasa,BedyCasa,http://www.bedycasa.com,|All Students|Travel|Hospitality|Rental Housing|Peer-to-Peer|,Hospitality,3515401.0,operating,FRA,,Montpellier,Montpellier,4.0,2007-07-01,2007-07,2007-Q3,2007.0,2009-09-01,2014-05-01,1987490.0,1384952.0,0.0,0.0,0.0,0.0,142959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/flocktory,Flocktory,http://www.flocktory.com,|E-Commerce|,E-Commerce,1700000.0,operating,RUS,,Moscow,Moscow,2.0,2012-04-01,2012-04,2012-Q2,2012.0,2012-04-01,2013-06-05,200000.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/treedom,Treedom,http://www.treedom.net,|Marketing Automation|Communications Infrastructure|Gps|,Communications Infrastructure,565000.0,operating,USA,CA,Los Angeles,Santa Monica,2.0,2010-10-01,2010-10,2010-Q4,2010.0,2012-11-01,2013-01-15,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/nomos-software,Nomos Software,http://nomos-software.com,|Software|,Software,661500.0,operating,IRL,,Cork,Cork,1.0,2007-01-01,2007-01,2007-Q1,2007.0,2012-02-22,2012-02-22,0.0,661500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/treato,Treato,http://treato.com,|Health Care|Natural Language Processing|Neuroscience|Big Data|Social Media|Pharmaceuticals|Health Care Information Technology|Health and Wellness|,Health Care,14500000.0,operating,ISR,,Tel Aviv,Yehud,1.0,2008-10-01,2008-10,2008-Q4,2008.0,2013-04-23,2013-04-23,0.0,14500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14500000.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/lovestruck-com,Lovestruck.com,http://www.lovestruck.com,|Online Dating|Social Media|,Online Dating,465000.0,operating,,,,,1.0,2006-06-15,2006-06,2006-Q2,2006.0,2010-01-06,2010-01-06,0.0,465000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
