funding_total_usd,funding_rounds,seed,venture,angel,grant,private_equity,debt_financing,equity_crowdfunding,convertible_note,undisclosed,product_crowdfunding,post_ipo_equity,post_ipo_debt,secondary_market,round_A,round_B,round_C,founded_year,founded_month,founded_quarter,log_funding_total_usd,log_seed,log_venture,log_angel,log_grant,log_private_equity,log_debt_financing,log_equity_crowdfunding,log_convertible_note,log_undisclosed,log_product_crowdfunding,log_post_ipo_equity,log_post_ipo_debt,log_secondary_market,log_round_A,log_round_B,log_round_C,has_round_A,has_round_B,has_round_C,round_D_plus,log_round_D_plus,had_angel,never_funded,days_to_first_funding,market_enc_acquired,market_enc_closed,country_code_enc_acquired,country_code_enc_closed,status_code
750000.0,3.0,200000.0,500000.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,2012.0,2.0,1.0,13.527829818844936,12.206077645517674,13.122365377402328,0.0,10.819798284210286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.122365377402328,0.0,0.0,1,0,0,0.0,0.0,0,0,-23.0,0.125,0.0673076923076923,0.0074074074074074,0.1111111111111111,1
40000.0,1.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,1.0,1.0,10.59665973278358,10.59665973278358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,587.0,0.0816326530612244,0.0408163265306122,0.1037932471863276,0.0521050437682367,0
28000000.0,4.0,1200000.0,26800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,9300000.0,12500000.0,2009.0,12.0,4.0,17.147715103853763,13.997832948091215,17.103912482794517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.424948670398354,16.04552506565036,16.341239282272525,1,1,1,0.0,0.0,0,0,-294.0,0.125,0.125,0.1037932471863276,0.0521050437682367,0
1800000.0,1.0,0.0,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800000.0,0.0,0.0,2010.0,6.0,2.0,14.403297778421797,0.0,14.403297778421797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.403297778421797,0.0,0.0,1,0,0,0.0,0.0,0,0,395.0,0.1064189189189189,0.0692567567567567,0.0517241379310344,0.0459770114942528,0
12500000.0,2.0,0.0,12500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,11.0,4.0,16.341239282272525,0.0,16.341239282272525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,580.0,0.1382113821138211,0.0796747967479674,0.0384615384615384,0.0384615384615384,0
5634740.0,1.0,0.0,5634740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,1.0,1.0,15.544461741666776,0.0,15.544461741666776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,578.0,0.0715287517531556,0.0490883590462833,0.1037932471863276,0.0521050437682367,0
2400000.0,3.0,0.0,0.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,6.0,2.0,14.690979711984754,0.0,0.0,14.690979711984754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0,299.0,0.0943396226415094,0.1226415094339622,0.092378752886836,0.0646651270207852,0
250000.0,1.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,6.0,2.0,12.429220196836384,12.429220196836384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,303.0,0.0373333333333333,0.024,0.1037932471863276,0.0521050437682367,0
530338.0,1.0,530338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,1.0,1.0,13.181271703698435,13.181271703698435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,1814.0,0.1060495626822157,0.0561224489795918,0.1037932471863276,0.0521050437682367,0
4200000.0,1.0,0.0,4200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200000.0,0.0,0.0,2010.0,9.0,3.0,15.250595321348806,0.0,15.250595321348806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.250595321348806,0.0,0.0,1,0,0,0.0,0.0,0,0,747.0,0.1428571428571428,0.1428571428571428,0.1037932471863276,0.0521050437682367,0
20000.0,1.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,8.0,3.0,9.90353755128617,9.90353755128617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,271.0,0.0983606557377049,0.081967213114754,0.1037932471863276,0.0521050437682367,0
108189.0,4.0,94599.0,0.0,0.0,0.0,0.0,0.0,0.0,13590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,1.0,1.0,11.59164421968162,11.45741275503997,0.0,0.0,0.0,0.0,0.0,0.0,9.517163087955348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,212.0,0.0,0.0,0.0545685279187817,0.0615482233502538,0
5000000.0,1.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,2009.0,1.0,1.0,15.424948670398354,0.0,15.424948670398354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.424948670398354,0.0,0.0,1,0,0,0.0,0.0,0,0,578.0,0.1382113821138211,0.0796747967479674,0.0233576642335766,0.0321167883211678,0
